DADOS GERAIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BSW;89,55;;%;;;;;;;;;;;
RGO da formação;58,4;m³/m³;;;;;;;;;;;;
Densidade do gás produzido;0,636;;(ar = 1,0);;;;;;;;;;;
Dist. mesa rot. cab. produção;1.333,00;m;;;;;;;;;;;;
Temperatura ambiente a jusante (produção);25;°C;;;;;;;;;;;;
Temperatura ambiente na árvore (injeção);3,4;°C;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CÁLCULO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pressão de tubo;;;Variável de Sensibilidade;;;;;;;;;;;
Pressão de injeção;198,95;kgf/cm²;man.;;;;;;;;;;;
 - Vazão Estimada de injeção;;m³/d;;;;;;;;;;;;
 - Convergir Vazão de Injeção;;;NÃO;;;;;;;;;;;
Cálculo térmico;;;SIM;;;;;;;;;;;
Correlação para Válvula de Pressão;;;Standard;;;;;;;;;;;
Correlação para Válvula de Orifício;;;T-C modificado;;;;;;;;;;;
Correlação para Válvula de Venturi;;;T-C modificado;;;;;;;;;;;
Fator correção para válvula;;;0,29;;;;;;;;;;;
Densidade do gás de injeção;0,641;;(ar = 1,0);;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CONTORNO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pjus e IPR Conhecidos, Calcula Vazão de Equilíbrio;;;;;;;;;;;;;;
Tipo de IPR;;;Linear;;;;;;;;;;;
46;22,5;364,9;3.491,60;75,4;173,58;86,39;;;;;;;;
46;25;357,5;3.421,10;75,4;175,96;88,2;;;;;;;;
46;27,5;350;3.349,50;75,4;178,32;89,97;;;;;;;;
46;30;342,4;3.276,40;75,3;180,64;91,71;;;;;;;;
46;32,5;334,6;3.201,70;75,3;182,93;93,41;;;;;;;;
46;35;326,6;3.125,00;75,2;185,2;95,08;;;;;;;;
46;37,5;318,3;3.046,20;75,1;187,45;96,73;;;;;;;;
46;40;309,8;2.965,00;75,1;189,68;98,34;;;;;;;;
46;42,5;301,1;2.881,50;75;191,9;99,94;;;;;;;;
46;45;292,1;2.795,30;74,9;194,1;101,5;;;;;;;;
46;47,5;282,8;2.706,40;74,9;196,29;103,05;;;;;;;;
46;50;273,2;2.614,60;74,8;198,46;104,59;;;;;;;;
47;10;414,1;3.962,30;75,7;161,82;78,69;;;;;;;;
47;12,5;407;3.894,90;75,7;164,52;80,79;;;;;;;;
47;15;400,1;3.828,30;75,6;167,13;82,82;;;;;;;;
47;17,5;393,1;3.762,10;75,6;169,66;84,77;;;;;;;;
47;20;386,2;3.695,80;75,6;172,14;86,68;;;;;;;;
47;22,5;379,2;3.629,20;75,5;174,56;88,53;;;;;;;;
47;25;372,2;3.561,90;75,5;176,95;90,35;;;;;;;;
47;27,5;365,1;3.493,70;75,4;179,3;92,14;;;;;;;;
47;30;357,8;3.424,30;75,4;181,63;93,89;;;;;;;;
47;32,5;350,4;3.353,50;75,4;183,92;95,61;;;;;;;;
47;35;342,9;3.281,20;75,3;186,19;97,3;;;;;;;;
47;37,5;335,1;3.207,10;75,3;188,44;98,96;;;;;;;;
47;40;327,2;3.130,90;75,2;190,67;100,6;;;;;;;;
47;42,5;319;3.052,60;75,1;192,89;102,21;;;;;;;;
47;45;310,6;2.972,00;75,1;195,09;103,8;;;;;;;;
47;47,5;301,9;2.889,00;75;197,27;105,37;;;;;;;;
47;50;293;2.803,50;74,9;199,45;106,92;;;;;;;;
48;10;426,9;4.085,10;75,8;162,85;80,84;;;;;;;;
48;12,5;420,1;4.020,10;75,7;165,55;82,95;;;;;;;;
48;15;413,4;3.955,90;75,7;168,15;84,97;;;;;;;;
48;17,5;406,7;3.892,10;75,7;170,68;86,93;;;;;;;;
48;20;400,1;3.828,40;75,6;173,15;88,84;;;;;;;;
48;22,5;393,4;3.764,40;75,6;175,58;90,71;;;;;;;;
48;25;386,6;3.700,00;75,6;177,96;92,53;;;;;;;;
48;27,5;379,8;3.634,70;75,5;180,31;94,33;;;;;;;;
48;30;372,9;3.568,60;75,5;182,64;96,09;;;;;;;;
48;32,5;365,9;3.501,40;75,5;184,93;97,83;;;;;;;;
48;35;358,7;3.432,80;75,4;187,21;99,54;;;;;;;;
48;37,5;351,4;3.362,70;75,4;189,46;101,22;;;;;;;;
48;40;343,9;3.290,90;75,3;191,69;102,87;;;;;;;;
48;42,5;336,2;3.217,30;75,3;193,91;104,5;;;;;;;;
48;45;328,3;3.141,60;75,2;196,1;106,11;;;;;;;;
48;47,5;320,2;3.063,90;75,2;198,29;107,7;;;;;;;;
48;50;311,8;2.983,90;75,1;200,46;109,27;;;;;;;;
49;10;439,6;4.206,80;75,8;163,91;83,03;;;;;;;;
49;12,5;433;4.144,00;75,8;166,6;85,13;;;;;;;;
49;15;426,6;4.082,00;75,8;169,2;87,16;;;;;;;;
49;17,5;420,1;4.020,50;75,7;171,72;89,12;;;;;;;;
49;20;413,7;3.959,10;75,7;174,19;91,04;;;;;;;;
49;22,5;407,3;3.897,50;75,7;176,61;92,91;;;;;;;;
49;25;400,8;3.835,60;75,6;179;94,75;;;;;;;;
49;27,5;394,3;3.773,10;75,6;181,35;96,55;;;;;;;;
49;30;387,7;3.709,90;75,6;183,67;98,33;;;;;;;;
49;32,5;381;3.645,70;75,5;185,97;100,08;;;;;;;;
49;35;374,2;3.580,50;75,5;188,24;101,8;;;;;;;;
49;37,5;367,2;3.514,00;75,5;190,49;103,49;;;;;;;;
49;40;360,1;3.446,10;75,4;192,73;105,17;;;;;;;;
49;42,5;352,9;3.376,60;75,4;194,94;106,82;;;;;;;;
49;45;345,4;3.305,20;75,3;197,15;108,44;;;;;;;;
49;47,5;337,8;3.232,10;75,3;199,33;110,05;;;;;;;;
49;50;329,9;3.157,10;75,2;201,51;111,64;;;;;;;;
50;10;452,2;4.327,50;75,9;165;85,25;;;;;;;;
50;12,5;445,9;4.266,70;75,9;167,68;87,35;;;;;;;;
50;15;439,6;4.206,80;75,8;170,27;89,38;;;;;;;;
50;17,5;433,4;4.147,40;75,8;172,79;91,35;;;;;;;;
50;20;427,2;4.088,10;75,8;175,26;93,27;;;;;;;;
50;22,5;421;4.028,80;75,7;177,68;95,15;;;;;;;;
50;25;414,8;3.969,20;75,7;180,06;96,99;;;;;;;;
50;27,5;408,5;3.909,10;75,7;182,41;98,81;;;;;;;;
50;30;402,2;3.848,50;75,7;184,73;100,59;;;;;;;;
50;32,5;395,7;3.787,10;75,6;187,02;102,35;;;;;;;;
50;35;389,2;3.724,80;75,6;189,3;104,08;;;;;;;;
50;37,5;382,6;3.661,40;75,5;191,55;105,79;;;;;;;;
50;40;375,9;3.596,80;75,5;193,79;107,48;;;;;;;;
50;42,5;369;3.530,90;75,5;196,01;109,15;;;;;;;;
50;45;361,9;3.463,60;75,4;198,21;110,79;;;;;;;;
50;47,5;354,7;3.394,60;75,4;200,4;112,42;;;;;;;;
50;50;347,3;3.323,80;75,3;202,57;114,02;;;;;;;;
51;10;464,7;4.447,30;76;166,11;87,51;;;;;;;;
51;12,5;458,6;4.388,40;75,9;168,78;89,61;;;;;;;;
51;15;452,5;4.330,40;75,9;171,36;91,64;;;;;;;;
51;17,5;446,5;4.273,00;75,9;173,88;93,62;;;;;;;;
51;20;440,5;4.215,70;75,8;176,34;95,54;;;;;;;;
51;22,5;434,6;4.158,40;75,8;178,76;97,42;;;;;;;;
51;25;428,5;4.100,90;75,8;181,14;99,27;;;;;;;;
51;27,5;422,5;4.043,10;75,8;183,49;101,09;;;;;;;;
51;30;416,4;3.984,80;75,7;185,81;102,88;;;;;;;;
51;32,5;410,2;3.925,80;75,7;188,1;104,65;;;;;;;;
51;35;404;3.866,10;75,7;190,38;106,39;;;;;;;;
51;37,5;397,7;3.805,50;75,6;192,63;108,12;;;;;;;;
51;40;391,2;3.743,90;75,6;194,87;109,82;;;;;;;;
51;42,5;384,7;3.681,20;75,6;197,09;111,5;;;;;;;;
51;45;378;3.617,30;75,5;199,29;113,16;;;;;;;;
51;47,5;371,2;3.552,00;75,5;201,49;114,8;;;;;;;;
51;50;364,2;3.485,10;75,4;203,66;116,43;;;;;;;;
52;10;477,2;4.566,20;76;167,24;89,81;;;;;;;;
52;12,5;471,2;4.509,20;76;169,9;91,91;;;;;;;;
52;15;465,3;4.453,00;76;172,48;93,94;;;;;;;;
52;17,5;459,5;4.397,30;75,9;174,99;95,91;;;;;;;;
52;20;453,7;4.341,90;75,9;177,45;97,84;;;;;;;;
